Spanish,English
el año,year
el país,country
el tiempo,time
la parte,part
la vida,life
los años,years
el día,day
la vez,time
la persona,person
la mujer,woman
el caso,case
el hombre,man
el momento,moment
el mundo,world
la casa,house
la cosa,thing
el gobierno,government
el lugar,place
el trabajo,work
la forma,form
el estado,state
el grupo,group
el punto,point
el niño,child
la ciudad,city
el problema,problem
el sistema,system
el presidente,president
la manera,way
la historia,history
el tipo,type
los millones,millions
el partido,party
el mes,month
la noche,night
la obra,work
el equipo,team
el proceso,process
las veces,times
el cambio,change
el hijo,son
el centro,center
el servicio,service
la empresa,company
la cuenta,account
la mano,hand
el nivel,level
el proyecto,project
la gente,people
el agua,water
la hora,time
el padre,parent
el desarrollo,development
la semana,week
el lado,side
la familia,family
la situación,situation
la madre,mother
la información,information
el fin,end
el programa,program
la salud,health
el cuerpo,body
la actividad,activity
el derecho,right
el ejemplo,example
el libro,book
el medio,middle
el tema,topic
los días,days
la ley,law
el hecho,fact
la zona,zone
el nombre,name
el resultado,result
el número,number
el final,end
el sector,sector
la calle,street
el estudio,study
la puerta,door
la investigación,research
el espacio,space
la sociedad,society
la acción,action
el pueblo,town
el director,director
la realidad,reality
la voz,voice
el producto,product
el amigo,friend
el mercado,market
la cabeza,head
la población,population
la muerte,death
el minuto,minute
la tierra,land
la verdad,truth
el sentido,sense
el hermano,brother
la medida,measure
la seguridad,security
la imagen,image
la comunidad,community
el poder,power
la universidad,university
el uso,use
la razón,reason
la organización,organization
la idea,idea
la educación,education
el paso,step
el área,area
el siglo,century
el objetivo,target
el dato,data
la posibilidad,possibility
la producción,production
el joven,youth
la necesidad,need
el policía,police
la especie,species
el camino,path
el plan,plan
el arte,art
la atención,attention
el ciento,hundred
la política,policy
la decisión,decision
la cultura,culture
la luz,light
la mayoría,majority
la mañana,morning
la enfermedad,disease
la relación,relationship
el juego,game
el campo,field
la edad,age
la experiencia,experience
el riesgo,risk
la fuerza,force
la calidad,quality
los ojos,eyes
la región,region
el amor,love
las horas,hours
el movimiento,movement
la palabra,word
la guerra,war
el dinero,money
la capacidad,capacity
el autor,author
el dólar,dollar
el precio,price
el acuerdo,agreement
la cara,face
el control,control
el modelo,model
el frente,front
la tarde,afternoon
la autoridad,authority
la película,film
la línea,line
la red,network
las condiciones,conditions
la falta,fault
el peso,weight
el modo,mode
la música,music
el ministro,minister
el fondo,background
la base,base
la orden,order
la clase,class
la presencia,presence
la función,function
la mesa,table
el actor,actor
la respuesta,answer
la ocasión,occasion
el principio,principle
el paciente,patient
el efecto,effect
la diferencia,difference
el señor,mister
el papel,paper
la serie,series
las manos,hands
la capital,capital
la fuente,source
la duda,doubt
el aspecto,aspect
el miembro,member
la compañía,company
el jefe,boss
el jugador,player
la vista,view
la cantidad,quantity
la dirección,address
el valor,value
el resto,rest
el silencio,silence
el / la ex,ex
el aire,air
el metro,metro
el teatro,theater
el apoyo,support
la mirada,look
la tecnología,technology
el personaje,character
la energía,energy
el viaje,trip
el futuro,future
el acto,event
el / la artista,artist
la época,period
el ministerio,ministry
el sueño,dream
el euro,euro
la causa,cause
el sitio,site
la figura,figure
el consejo,advice
el cargo,position
el profesor,professor
la propuesta,proposal
el cine,cinema
la escuela,school
el ojo,eye
el público,public
el objeto,object
los recursos,resources
el tratamiento,treatment
el compañero,colleague
la libertad,freedom
la participación,participation
el asunto,subject
el interés,interest
la unidad,unit
el banco,bank
la vuelta,turn
la posición,position
la carrera,career
las palabras,words
la planta,plant
la práctica,practice
el esfuerzo,effort
la comunicación,communication
la comisión,commission
la economía,economy
el ser,being
el análisis,analysis
el pie,footer
las relaciones,relations
el conocimiento,knowledge
la crisis,crisis
el premio,award
el encuentro,meeting
el conjunto,set
la consecuencia,consequence
el suelo,soil
la década,decade
el texto,text
el miedo,fear
el / la estudiante,student
el título,title
el origen,source
el médico,doctor
la formación,training
la fecha,date
la boca,mouth
el sol,sun
el éxito,success
la entrada,entry
la sala,room
el crecimiento,growth
la reunión,meeting
el animal,animal
el informe,report
el hospital,hospital
la importancia,importance
el negocio,business
el mar,sea
el consumo,consumption
el artículo,article
la prensa,press
la carta,letter
el departamento,department
el material,material
la estrategia,strategy
la construcción,construction
la televisión,television
el color,color
la estructura,structure
el general,general
el cabo,cape
